id_caso,anio,mes,dia,codigo_dane_de_municipio,municipio,departamento,region,modalidad,presunto_responsable,descripcion_presunto_responsable,abandono_o_despojo_forzado_de_tierras,amenaza_o_intimidacion,ataque_contra_mision_medica,confinamiento_o_restriccion_a_la_movilidad,desplazamiento_forzado,extorsion,lesionados_civiles,pillaje,tortura,total_victimas_caso,forma_vinculacion,tipo_vinculacion,latitud_longitud,anio_valido,mes_valido,dia_valido,decada,latitud,longitud,alto_impacto,total_hechos
316.686,2.004,6,11,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.61103107 6.257590259),2004,6,11,2000-2009,6.257590259,-75.61103107,1,0
316.693,2.005,6,27,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.61103107 6.257590259),2005,6,27,2000-2009,6.257590259,-75.61103107,1,0
316.695,2.005,8,21,05001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,2,MÚLTIPLE,SIN INFORMACIÓN,POINT (-75.61103107 6.257590259),2005,8,21,2000-2009,6.257590259,-75.61103107,1,0
316.96,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.782,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,5,SIN INFORMACIÓN,SIN INFORMACIÓN,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.788,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,UTILIZACIÓN,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.796,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.798,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,3,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.799,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,4,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.803,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.805,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,3,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.815,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.817,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,3,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.82,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,5,SIN INFORMACIÓN,RECLUTAMIENTO,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.828,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,2,SIN INFORMACIÓN,SIN INFORMACIÓN,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.832,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,3,SIN INFORMACIÓN,SIN INFORMACIÓN,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.835,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,3,SIN INFORMACIÓN,SIN INFORMACIÓN,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
317.839,0.0,0,0,00000,SIN INFORMACION,SIN INFORMACION,SIN INFORMACION,DESCONOCIDA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,3,SIN INFORMACIÓN,SIN INFORMACIÓN,POINT (-72 4),,,,SIN INFORMACION,4.0,-72.0,1,0
